Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,181.386993,188.820999,181.386993,185.847000,183.111374,348556
2008-09-03,185.847000,188.820999,185.847000,187.334000,184.576492,296581
2008-09-04,190.307999,190.307999,185.847000,187.334000,184.576492,169561
2008-09-05,181.386993,182.873993,179.899994,182.873993,180.182144,178759
2008-09-08,185.847000,185.847000,181.386993,182.873993,180.182144,538009
2008-09-09,182.873993,182.873993,179.899994,181.386993,178.717026,346420
2008-09-10,181.386993,181.386993,178.412994,179.899994,177.251907,570714
2008-09-11,181.386993,181.386993,175.440002,175.440002,172.857574,295034
2008-09-12,173.953003,175.440002,172.466003,173.953003,171.392456,224748
2008-09-15,173.953003,175.440002,168.005997,169.492996,166.998108,275747
2008-09-16,163.546005,163.546005,156.112000,162.059006,159.673538,467050
2008-09-17,163.546005,168.005997,163.546005,165.031998,162.602798,590387
2008-09-18,40.029999,40.029999,39.369999,39.369999,38.790485,2720
2008-09-19,166.518997,172.466003,166.518997,169.492996,166.998108,477778
2008-09-22,175.440002,176.927002,173.953003,175.440002,172.857574,1260107
2008-09-23,39.610001,39.610001,39.610001,39.610001,39.026951,100
2008-09-24,172.466003,176.927002,172.466003,173.953003,171.392456,646835
2008-09-25,173.953003,175.440002,172.466003,173.953003,171.392456,568057
2008-09-26,172.466003,176.927002,172.466003,173.953003,171.392456,804575
2008-09-29,175.440002,178.412994,173.953003,173.953003,171.392456,353012
2008-09-30,166.518997,172.466003,163.546005,172.466003,169.927353,792199
2008-10-01,172.466003,172.466003,172.466003,172.466003,169.927353,0
2008-10-02,172.466003,176.927002,172.466003,175.440002,172.857574,531199
2008-10-03,36.000000,36.000000,36.000000,36.000000,35.470089,125
2008-10-06,34.000000,34.000000,33.099998,33.099998,32.612778,1283
2008-10-07,33.360001,33.360001,33.360001,33.360001,32.868954,20
2008-10-08,148.677994,150.164993,148.082993,148.082993,145.903259,823273
2008-10-09,148.677994,150.164993,147.488007,148.082993,145.903259,1044406
2008-10-10,142.731003,142.731003,133.214996,134.404999,132.426590,2174181
2008-10-13,135.593994,142.731003,135.593994,140.352005,138.286072,916344
2008-10-14,154.625000,156.112000,148.677994,156.112000,153.814072,2114875
2008-10-15,33.250000,33.250000,33.250000,33.250000,32.760571,100
2008-10-16,142.731003,146.298996,141.541000,145.703995,143.559265,696271
2008-10-17,28.520000,28.520000,28.520000,28.520000,28.100195,150
2008-10-20,143.919998,147.488007,143.324997,143.919998,141.801544,2093940
2008-10-21,146.298996,147.488007,145.703995,145.703995,143.559265,376233
2008-10-22,145.703995,146.298996,143.919998,145.703995,143.559265,1586753
2008-10-23,142.731003,142.731003,138.567993,139.757004,137.699814,1303473
2008-10-24,142.731003,142.731003,134.998993,134.998993,133.011841,1508379
2008-10-27,134.998993,134.998993,118.348000,118.942001,117.191208,1585139
2008-10-28,25.000000,25.000000,25.000000,25.000000,24.632008,75
2008-10-29,125.484001,127.267998,121.916000,121.916000,120.121429,962147
2008-10-30,29.400000,29.400000,29.400000,29.400000,28.967241,70
2008-10-31,136.188995,139.757004,136.188995,138.567993,136.528320,1444028
2008-11-03,139.757004,145.703995,139.757004,144.514999,142.387787,1751102
2008-11-04,144.514999,145.110001,141.541000,142.136002,140.043808,1608259
2008-11-05,144.514999,146.298996,140.947006,140.947006,138.872299,765245
2008-11-06,140.352005,140.352005,136.783997,136.783997,134.770569,1233825
2008-11-07,133.809998,133.809998,127.267998,127.862999,125.980888,1049921
2008-11-10,127.862999,129.052002,123.699997,124.889000,123.050667,895947
2008-11-11,124.294998,124.889000,121.916000,123.105003,121.292938,1232127
2008-11-12,123.105003,124.294998,121.916000,123.699997,121.879166,1022244
2008-11-13,119.537003,119.537003,118.348000,118.942001,117.191208,1864232
2008-11-14,121.916000,124.889000,121.916000,121.916000,120.121429,996618
2008-11-17,121.916000,121.916000,118.942001,120.132004,118.363701,297977
2008-11-18,26.000000,26.000000,26.000000,26.000000,25.617287,150
2008-11-19,115.374001,115.969002,111.210999,111.210999,109.574013,787861
2008-11-20,25.950001,25.000000,25.000000,25.950001,25.568024,130
2008-11-21,105.264000,105.264000,101.695999,103.480003,101.956802,1346889
2008-11-24,105.859001,108.237000,104.668999,105.264000,103.714546,824064
2008-11-25,109.427002,116.563004,108.237000,113.589996,111.917984,1336413
2008-11-26,113.589996,117.157997,113.589996,114.778999,113.089493,891962
2008-11-28,117.157997,117.157997,114.184998,114.778999,113.089493,406197
2008-12-01,114.778999,114.778999,114.778999,114.778999,113.089493,0
2008-12-02,107.047997,109.427002,107.047997,107.047997,105.472282,498174
2008-12-03,108.237000,111.210999,107.642998,108.237000,106.643791,639991
2008-12-04,108.237000,109.427002,107.047997,107.642998,106.058525,365925
2008-12-05,106.453003,107.047997,105.859001,105.859001,104.300789,279732
2008-12-08,111.806000,112.400002,111.806000,111.806000,110.160248,349581
2008-12-09,117.157997,118.348000,114.778999,115.374001,113.675720,979652
2008-12-10,115.374001,121.916000,115.374001,121.916000,120.121429,1129607
2008-12-11,121.916000,126.079002,121.916000,124.889000,123.050667,957708
2008-12-12,124.294998,124.294998,119.537003,119.537003,117.777443,920867
2008-12-15,122.511002,125.484001,122.511002,123.105003,121.292938,742091
2008-12-16,121.916000,124.294998,120.725998,123.105003,121.292938,257587
2008-12-17,124.889000,129.052002,123.699997,125.484001,123.636917,1170585
2008-12-18,124.889000,126.079002,124.294998,126.079002,124.223160,499873
2008-12-19,125.484001,127.862999,125.484001,126.079002,124.223160,894653
2008-12-22,126.079002,126.079002,118.942001,119.537003,117.777443,693362
2008-12-23,121.916000,121.916000,119.537003,121.916000,120.121429,261068
2008-12-24,121.916000,125.484001,121.916000,124.294998,122.465416,454271
2008-12-26,124.294998,124.294998,124.294998,124.294998,122.465416,0
2008-12-29,124.294998,124.294998,124.294998,124.294998,122.465416,0
2008-12-30,124.294998,124.294998,124.294998,124.294998,122.465416,0
2008-12-31,124.294998,124.294998,124.294998,124.294998,122.465416,0
