Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,5.301000,5.520000,5.301000,5.482000,5.085330,11872000
2008-09-03,5.470000,5.530000,5.401000,5.449000,5.054718,4950000
2008-09-04,5.406000,5.540000,5.400000,5.461000,5.065848,7363000
2008-09-05,5.331000,5.500000,5.330000,5.479000,5.082546,2513000
2008-09-08,5.600000,5.600000,5.501000,5.546000,5.144699,6526000
2008-09-09,5.501000,5.550000,5.500000,5.512000,5.113159,5781000
2008-09-10,5.512000,5.580000,5.501000,5.526000,5.126146,11975000
2008-09-11,5.526000,5.526000,5.302000,5.421000,5.028744,4018000
2008-09-12,5.301000,5.530000,5.301000,5.474000,5.077909,5318000
2008-09-15,5.490000,5.620000,5.400000,5.448000,5.053790,2792000
2008-09-17,5.203000,5.450000,4.931000,4.979000,4.618727,14421000
2008-09-18,4.979000,4.979000,4.810000,4.910000,4.554719,11488000
2008-09-19,5.000000,5.090000,4.831000,4.885000,4.531528,12124000
2008-09-22,4.979000,5.070000,4.910000,4.982000,4.621509,5169000
2008-09-23,4.982000,5.250000,4.982000,5.212000,4.834866,5102000
2008-09-24,5.212000,5.212000,4.994000,5.177000,4.802400,1811000
2008-09-25,5.177000,5.300000,5.177000,5.278000,4.896091,6480000
2008-09-26,5.269000,5.290000,5.101000,5.221000,4.843215,4142000
2008-09-29,4.837000,5.200000,4.505000,4.837000,4.487001,8341000
2008-09-30,4.900000,4.952000,4.111000,4.918000,4.562140,13590000
2008-10-01,5.371000,5.450000,4.850000,5.371000,4.982361,11192000
2008-10-02,5.400000,5.400000,5.000000,5.278000,4.896091,5543000
2008-10-03,4.975000,5.450000,4.937000,4.975000,4.615015,9064000
2008-10-06,4.498000,4.937000,4.300000,4.498000,4.172531,6932000
2008-10-07,4.131000,4.650000,4.013000,4.131000,3.832087,15455000
2008-10-08,3.962000,4.200000,3.962000,4.027000,3.735611,31329000
2008-10-09,4.050000,4.137000,3.970000,4.007000,3.717059,10690000
2008-10-10,3.430000,3.833000,3.407000,3.430000,3.181810,12264000
2008-10-13,4.309000,4.398000,3.500000,4.309000,3.997206,15672000
2008-10-14,4.402000,4.600000,4.110000,4.256000,3.948041,10700000
2008-10-15,3.761000,4.150000,3.603000,3.761000,3.488859,10319000
2008-10-16,3.761000,3.761000,3.545000,3.681000,3.414648,6345000
2008-10-17,3.501000,3.700000,3.401000,3.508000,3.254165,12176000
2008-10-20,3.503000,3.629000,3.350000,3.478000,3.226336,10337000
2008-10-21,3.174000,3.450000,3.061000,3.174000,2.944334,13704000
2008-10-22,3.010000,3.011000,2.831000,2.877000,2.668824,19541000
2008-10-23,2.624000,2.880000,2.560000,2.624000,2.434131,17160000
2008-10-24,2.500000,2.530000,2.301000,2.520000,2.337656,7035000
2008-10-27,2.599000,2.665000,2.301000,2.599000,2.410940,16823000
2008-10-28,2.599000,2.877000,2.599000,2.748000,2.549158,15399000
2008-10-29,2.800000,2.855000,2.639000,2.689000,2.494427,20481000
2008-10-30,2.701000,2.847000,2.680000,2.757000,2.557507,17361000
2008-10-31,2.537000,2.795000,2.501000,2.537000,2.353426,35697000
2008-11-03,2.506000,2.650000,2.394000,2.506000,2.324670,29707000
2008-11-04,2.599000,2.750000,2.510000,2.721000,2.524112,8771000
2008-11-05,2.705000,2.740000,2.604000,2.634000,2.443407,10403000
2008-11-06,2.601000,2.601000,2.502000,2.507000,2.325597,6878000
2008-11-07,2.507000,2.599000,2.507000,2.569000,2.383111,8534000
2008-11-10,2.550000,2.699000,2.550000,2.649000,2.457322,8588000
2008-11-11,2.649000,2.750000,2.501000,2.705000,2.509269,17273000
2008-11-12,2.591000,2.647000,2.421000,2.591000,2.403519,6579000
2008-11-13,2.757000,2.800000,2.500000,2.757000,2.557507,10153000
2008-11-14,2.757000,2.899000,2.660000,2.778000,2.576988,8485000
2008-11-18,2.778000,2.875000,2.650000,2.699000,2.503704,8708000
2008-11-19,2.541000,2.700000,2.541000,2.627000,2.436914,5660000
2008-11-20,2.502000,2.699000,2.501000,2.629000,2.438769,3640000
2008-11-21,2.600000,2.694000,2.500000,2.654000,2.461961,9423000
2008-11-24,2.750000,2.750000,2.551000,2.653000,2.461032,10390000
2008-11-25,2.491000,2.748000,2.390000,2.491000,2.310754,6269000
2008-11-26,2.430000,2.594000,2.429000,2.472000,2.293129,8426000
2008-11-27,2.458000,2.458000,2.200000,2.430000,2.254169,32244000
2008-11-28,2.442000,2.479000,2.230000,2.442000,2.265301,38766000
2008-12-01,2.400000,2.549000,2.330000,2.456000,2.278287,19697000
2008-12-02,2.456000,2.574000,2.435000,2.508000,2.326524,22587000
2008-12-03,2.480000,2.548000,2.460000,2.474000,2.294984,5883000
2008-12-04,2.471000,2.570000,2.451000,2.511000,2.329307,15957000
2008-12-05,2.602000,2.630000,2.450000,2.602000,2.413723,9026000
2008-12-08,2.611000,2.775000,2.611000,2.744000,2.545448,10717000
2008-12-09,2.750000,2.880000,2.730000,2.847000,2.640995,14701000
2008-12-10,2.900000,2.980000,2.856000,2.979000,2.763443,8182000
2008-12-11,2.979000,2.979000,2.880000,2.896000,2.686449,7021000
2008-12-15,2.896000,2.920000,2.702000,2.800000,2.597396,9505000
2008-12-16,2.801000,2.990000,2.700000,2.914000,2.703146,9173000
2008-12-17,3.302000,3.351000,2.914000,3.302000,3.063072,10834000
2008-12-18,3.448000,3.448000,3.250000,3.329000,3.088118,9568000
2008-12-19,3.331000,3.402000,3.020000,3.180000,2.949899,11079000
2008-12-22,3.150000,3.299000,3.074000,3.151000,2.922998,1418000
2008-12-23,3.151000,3.210000,3.071000,3.117000,2.891458,2951000
2008-12-24,3.080000,3.300000,3.080000,3.134000,2.907228,627000
2008-12-26,3.209000,3.210000,3.080000,3.131000,2.904445,398000
2008-12-29,3.132000,3.259000,3.000000,3.026000,2.807042,1090000
2008-12-30,3.030000,3.168000,2.875000,2.953000,2.739325,3834000
2008-12-31,2.851000,2.959000,2.851000,2.955000,2.741180,4858000
2009-01-02,3.000000,3.080000,3.000000,3.079000,2.856208,6888000
2009-01-05,3.269000,3.400000,2.962000,3.283000,3.045447,12236000
2009-01-06,3.450000,3.450000,3.333000,3.345000,3.102960,8617000
2009-01-07,3.154000,3.345000,3.091000,3.154000,2.925781,6451000
2009-01-08,3.150000,3.209000,3.000000,3.159000,2.930419,5144000
2009-01-09,3.111000,3.129000,3.021000,3.037000,2.817246,4699000
2009-01-12,2.969000,3.100000,2.801000,2.969000,2.754168,4988000
2009-01-13,2.968000,2.968000,2.807000,2.936000,2.723555,2426000
2009-01-14,2.900000,2.951000,2.851000,2.884000,2.675317,6146000
2009-01-15,2.874000,2.888000,2.701000,2.806000,2.602962,6755000
2009-01-16,2.897000,2.900000,2.750000,2.756000,2.556580,8169000
2009-01-19,2.746000,2.800000,2.715000,2.768000,2.567711,1423000
2009-01-20,2.705000,2.750000,2.650000,2.708000,2.512053,8270000
2009-01-21,2.651000,2.700000,2.551000,2.587000,2.399808,7019000
2009-01-22,2.587000,2.700000,2.450000,2.577000,2.390532,5242000
2009-01-23,2.449000,2.695000,2.449000,2.525000,2.342294,3837000
2009-01-26,2.610000,2.679000,2.520000,2.600000,2.411867,3981000
2009-01-27,2.677000,2.677000,2.478000,2.486000,2.306117,4764000
2009-01-28,2.500000,2.590000,2.491000,2.520000,2.337656,4987000
2009-01-29,2.313000,2.520000,2.310000,2.313000,2.145634,19501000
2009-01-30,2.300000,2.450000,2.150000,2.400000,2.226339,26891000
2009-02-02,2.400000,2.400000,2.400000,2.400000,2.226339,0
2009-02-03,2.400000,2.400000,2.225000,2.266000,2.102035,15398000
2009-02-04,2.298000,2.394000,2.290000,2.360000,2.189233,4422000
2009-02-05,2.335000,2.399000,2.280000,2.364000,2.192944,7899000
2009-02-06,2.400000,2.440000,2.380000,2.389000,2.216135,11077000
2009-02-09,2.360000,2.400000,2.270000,2.374000,2.202221,5465000
2009-02-10,2.420000,2.420000,2.190000,2.217000,2.056581,8851000
2009-02-11,2.252000,2.260000,2.171000,2.221000,2.060291,13284000
2009-02-12,2.200000,2.210000,2.100000,2.201000,2.041739,6775000
2009-02-13,2.201000,2.300000,2.171000,2.247000,2.084410,7008000
2009-02-16,2.250000,2.323000,2.250000,2.264000,2.100180,649000
2009-02-17,2.240000,2.249000,2.151000,2.243000,2.080699,5817000
2009-02-18,2.121000,2.260000,2.121000,2.210000,2.050088,2287000
2009-02-19,2.175000,2.259000,2.169000,2.253000,2.089976,4445000
2009-02-20,2.152000,2.236000,2.152000,2.211000,2.051015,9118000
2009-02-23,2.211000,2.230000,2.104000,2.189000,2.030607,7955000
2009-02-24,2.271000,2.280000,2.100000,2.271000,2.106674,7276000
2009-02-25,2.253000,2.253000,2.100000,2.141000,1.986080,9513000
2009-02-26,2.199000,2.199000,2.072000,2.138000,1.983297,3455000
2009-02-27,2.006000,2.138000,2.006000,2.083000,1.932277,4542000
2009-03-02,2.083000,2.083000,1.912000,1.942000,1.801480,8955000
2009-03-03,1.799000,1.942000,1.760000,1.799000,1.668827,7980000
