Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,11.610000,11.860000,11.500000,11.610000,8.218298,1145900
2008-09-03,11.500000,11.810000,11.480000,11.500000,8.140432,958900
2008-09-04,11.250000,11.490000,11.200000,11.250000,7.963466,3689700
2008-09-05,11.030000,11.160000,10.900000,11.030000,7.807735,1370400
2008-09-08,10.810000,11.180000,10.800000,10.810000,7.652006,1188300
2008-09-09,10.450000,10.800000,10.450000,10.450000,7.397176,787400
2008-09-10,10.350000,10.460000,10.310000,10.350000,7.326389,177700
2008-09-11,10.260000,10.400000,10.200000,10.260000,7.262681,1303700
2008-09-12,10.110000,10.200000,9.800000,10.110000,7.156500,1134400
2008-09-15,9.610000,9.850000,9.580000,9.610000,6.802569,490600
2008-09-17,9.360000,9.700000,9.220000,9.360000,6.625604,2292600
2008-09-18,9.510000,9.800000,9.000000,9.510000,6.731783,1378800
2008-09-19,9.780000,10.000000,9.400000,9.780000,6.922906,2878600
2008-09-22,9.600000,9.800000,9.400000,9.600000,6.795492,1199500
2008-09-23,9.590000,9.800000,9.500000,9.590000,6.788412,1145000
2008-09-24,9.630000,9.690000,9.400000,9.630000,6.816728,144200
2008-09-25,9.720000,9.810000,9.500000,9.720000,6.880436,677800
2008-09-26,9.500000,9.650000,9.500000,9.500000,6.724705,757700
2008-09-29,8.790000,9.590000,8.490000,8.790000,6.222121,0
2008-09-30,9.140000,9.190000,8.800000,9.140000,6.469874,476800
2008-10-01,8.910000,9.000000,8.500000,8.910000,6.307065,2379100
2008-10-02,8.290000,8.850000,8.250000,8.290000,5.868189,0
2008-10-03,7.810000,8.400000,7.510000,7.810000,5.528415,0
2008-10-06,7.500000,7.700000,6.640000,7.500000,5.308977,2134300
2008-10-07,7.150000,7.900000,7.130000,7.150000,5.061225,0
2008-10-08,6.800000,7.050000,6.700000,6.800000,4.813473,3000700
2008-10-09,6.530000,7.050000,6.500000,6.530000,4.622350,1449500
2008-10-10,6.180000,6.550000,5.810000,6.180000,4.374598,0
2008-10-13,6.630000,6.900000,6.140000,6.630000,4.693136,2446800
2008-10-14,7.110000,7.600000,6.740000,7.110000,5.032911,2248200
2008-10-15,7.020000,7.200000,6.900000,7.020000,4.969203,1253300
2008-10-16,6.900000,7.040000,6.700000,6.900000,4.884259,1076700
2008-10-17,6.640000,7.000000,6.600000,6.640000,4.700214,235500
2008-10-20,7.000000,7.000000,6.600000,7.000000,4.955045,604600
2008-10-21,7.150000,7.200000,6.900000,7.150000,5.061225,339500
2008-10-22,7.050000,7.300000,6.910000,7.050000,4.990439,1792000
2008-10-23,6.750000,7.000000,6.530000,6.750000,4.778080,3517800
2008-10-24,6.350000,6.600000,6.190000,6.350000,4.494934,3923900
2008-10-27,6.270000,6.450000,6.200000,6.270000,4.438305,708400
2008-10-28,6.700000,6.780000,6.110000,6.700000,4.742686,0
2008-10-29,7.000000,7.380000,6.500000,7.000000,4.955045,1361900
2008-10-30,7.780000,7.800000,7.000000,7.780000,5.507180,0
2008-10-31,7.880000,8.600000,7.660000,7.880000,5.577966,3282300
2008-11-03,8.100000,8.360000,7.750000,8.100000,5.733696,870900
2008-11-04,8.360000,8.700000,8.200000,8.360000,5.917739,1435300
2008-11-05,7.980000,8.360000,7.900000,7.980000,5.648752,1201500
2008-11-06,7.700000,7.930000,7.590000,7.700000,5.450550,1833200
2008-11-07,7.850000,8.150000,7.600000,7.850000,5.556729,561900
2008-11-10,7.820000,8.100000,7.750000,7.820000,5.535493,1570400
2008-11-11,7.820000,7.960000,7.790000,7.820000,5.535493,703300
2008-11-12,7.830000,8.050000,7.800000,7.830000,5.542572,1128200
2008-11-13,8.100000,8.100000,7.600000,8.100000,5.733696,954000
2008-11-14,8.660000,8.700000,8.000000,8.660000,6.130099,0
2008-11-18,8.290000,8.790000,8.280000,8.290000,5.868189,0
2008-11-19,8.330000,8.380000,8.260000,8.330000,5.896504,522600
2008-11-20,8.060000,8.270000,7.800000,8.060000,5.705381,832300
2008-11-21,8.210000,8.550000,8.060000,8.210000,5.811561,1226500
2008-11-24,8.100000,8.670000,8.050000,8.100000,5.733696,1967300
2008-11-25,8.000000,8.430000,7.950000,8.000000,5.662909,2708700
2008-11-26,8.160000,8.250000,8.000000,8.160000,5.776168,1652400
2008-11-27,7.990000,8.280000,7.950000,7.990000,5.655830,1110800
2008-11-28,8.040000,8.130000,7.910000,8.040000,5.691224,670600
2008-12-01,7.790000,7.930000,7.760000,7.790000,5.514258,671100
2008-12-02,8.050000,8.070000,7.700000,8.050000,5.698303,1913500
2008-12-03,8.780000,8.780000,7.950000,8.780000,6.215043,0
2008-12-04,9.120000,9.350000,8.400000,9.120000,6.455716,0
2008-12-05,9.700000,9.890000,8.980000,9.700000,6.866278,0
2008-12-08,9.820000,9.890000,9.310000,9.820000,6.951221,1701500
2008-12-09,9.700000,9.850000,9.500000,9.700000,6.866278,1662900
2008-12-10,10.000000,10.000000,9.700000,10.000000,7.078636,2323000
2008-12-11,9.820000,10.400000,9.780000,9.820000,6.951221,652300
2008-12-15,9.720000,9.840000,9.500000,9.720000,6.880436,329500
2008-12-16,9.720000,9.900000,9.520000,9.720000,6.880436,863700
2008-12-17,9.650000,9.720000,9.390000,9.650000,6.830884,5482500
2008-12-18,9.580000,9.810000,9.500000,9.580000,6.781335,971100
2008-12-19,9.550000,9.720000,9.550000,9.580000,6.781335,813500
2008-12-22,9.580000,9.720000,9.550000,9.630000,6.816728,259000
2008-12-23,9.500000,9.700000,9.420000,9.500000,6.724705,473600
2008-12-24,9.640000,9.640000,9.380000,9.470000,6.703469,50000
2008-12-26,9.470000,9.640000,9.400000,9.540000,6.753019,736300
2008-12-29,9.860000,9.900000,9.600000,9.860000,6.979536,537100
2008-12-30,10.140000,10.150000,9.850000,10.140000,7.177738,1255700
2008-12-31,10.140000,10.760000,10.000000,10.140000,7.177738,849900
2009-01-02,10.140000,10.600000,10.140000,10.470000,7.411332,747600
2009-01-05,10.410000,10.700000,10.410000,10.510000,7.439646,1601700
2009-01-06,10.510000,10.650000,10.400000,10.550000,7.467963,760200
2009-01-07,10.300000,10.410000,10.250000,10.300000,7.290996,672600
2009-01-08,10.210000,10.550000,10.210000,10.400000,7.361783,2781200
2009-01-09,10.400000,10.550000,10.250000,10.440000,7.390098,1412500
2009-01-12,10.120000,10.470000,9.800000,10.120000,7.163579,1096900
2009-01-13,10.110000,10.150000,9.950000,10.100000,7.149423,912100
2009-01-14,10.050000,10.050000,9.710000,9.900000,7.007850,1670600
2009-01-15,9.820000,9.970000,9.600000,9.820000,6.951221,1980400
2009-01-16,9.960000,10.050000,9.760000,10.010000,7.085717,746500
2009-01-19,9.950000,10.010000,9.900000,9.950000,7.043242,78000
2009-01-20,9.950000,9.950000,9.360000,9.440000,6.682232,1105700
2009-01-21,9.350000,9.690000,9.350000,9.540000,6.753019,789700
2009-01-22,9.400000,9.500000,9.250000,9.400000,6.653919,1195400
2009-01-23,9.400000,9.500000,9.300000,9.390000,6.646839,1361500
2009-01-26,9.490000,9.500000,9.300000,9.490000,6.717626,840900
2009-01-27,9.500000,9.900000,9.460000,9.680000,6.852121,1247000
2009-01-28,9.700000,9.800000,9.600000,9.750000,6.901670,1843400
2009-01-29,9.610000,9.750000,9.290000,9.610000,6.802569,1681600
2009-01-30,9.780000,9.800000,9.190000,9.780000,6.922906,12913300
2009-02-02,null,null,null,null,null,null
2009-02-03,9.780000,9.780000,9.520000,9.770000,6.915828,2061700
2009-02-04,9.590000,9.800000,9.590000,9.780000,6.922906,2801600
2009-02-05,9.620000,9.780000,9.510000,9.620000,6.809649,233900
2009-02-06,9.760000,9.780000,9.690000,9.760000,6.908750,830300
2009-02-09,9.600000,9.780000,9.550000,9.680000,6.852121,253700
2009-02-10,9.500000,9.650000,9.500000,9.520000,6.738863,1217100
2009-02-11,9.600000,9.600000,9.300000,9.600000,6.795492,928800
2009-02-12,9.500000,9.600000,9.310000,9.500000,6.724705,374100
2009-02-13,9.580000,9.640000,9.300000,9.580000,6.781335,455400
2009-02-16,9.570000,9.600000,9.560000,9.590000,6.788412,70300
2009-02-17,9.480000,9.600000,9.150000,9.480000,6.710547,652900
2009-02-18,9.510000,9.600000,9.340000,9.510000,6.731783,1261700
2009-02-19,9.640000,9.700000,9.350000,9.640000,6.823805,413200
2009-02-20,9.530000,9.570000,9.400000,9.530000,6.745941,659300
2009-02-23,9.400000,9.500000,9.300000,9.400000,6.653919,1173900
2009-02-24,9.390000,9.400000,9.210000,9.390000,6.646839,824800
2009-02-25,9.550000,9.550000,9.190000,9.550000,6.760098,313600
2009-02-26,9.550000,9.950000,9.550000,9.830000,6.958300,507800
2009-02-27,9.000000,9.970000,9.000000,9.650000,6.830884,1262500
2009-03-02,9.540000,9.550000,8.930000,9.020000,6.384931,500300
2009-03-03,9.200000,9.250000,8.730000,9.200000,6.512346,692200
2009-03-04,9.100000,9.400000,9.000000,9.100000,6.441560,283800
2009-03-05,8.600000,9.050000,8.580000,8.600000,6.087628,84100
2009-03-06,8.600000,8.600000,7.900000,8.210000,5.811561,103900
2009-03-09,8.330000,8.330000,7.520000,7.590000,5.372686,139300
2009-03-10,7.950000,8.230000,7.590000,7.950000,5.627516,707300
2009-03-11,7.970000,8.140000,7.950000,7.970000,5.641673,347700
2009-03-12,8.220000,8.340000,7.930000,8.220000,5.818639,1186900
2009-03-13,8.220000,8.340000,8.110000,8.230000,5.825717,810100
2009-03-17,8.240000,8.540000,7.900000,8.480000,6.002684,395900
2009-03-18,8.470000,8.590000,8.210000,8.290000,5.868189,471600
2009-03-19,8.220000,8.220000,7.900000,7.930000,5.613358,945000
2009-03-20,7.850000,8.300000,7.710000,7.850000,5.556729,639800
2009-03-23,7.900000,8.300000,7.870000,8.150000,5.769088,1008600
2009-03-24,8.100000,8.150000,8.000000,8.100000,5.733696,1617900
2009-03-25,8.140000,8.280000,7.900000,8.080000,5.719539,943200
2009-03-26,8.000000,8.100000,7.940000,8.000000,5.662909,918300
2009-03-27,8.000000,8.140000,7.810000,8.100000,5.733696,1573700
2009-03-30,8.100000,8.100000,7.800000,7.950000,5.627516,568800
2009-03-31,7.850000,8.500000,7.750000,7.850000,5.556729,866700
2009-04-01,7.960000,8.060000,7.900000,7.900000,5.592124,744400
2009-04-02,8.280000,8.390000,7.950000,8.280000,5.861111,3520800
2009-04-03,8.230000,8.490000,8.100000,8.230000,5.825717,751500
2009-04-06,8.270000,8.350000,8.200000,8.270000,5.854033,204100
2009-04-07,8.340000,8.350000,8.150000,8.340000,5.903583,399300
2009-04-08,8.340000,8.700000,8.330000,8.650000,6.123021,942044
2009-04-13,8.710000,9.800000,8.710000,9.510000,6.731783,2200521
2009-04-14,9.510000,10.420000,9.500000,10.270000,7.269761,3498308
2009-04-15,10.290000,10.390000,10.200000,10.290000,7.283917,2010400
2009-04-16,10.610000,10.700000,10.150000,10.610000,7.510433,1833400
2009-04-17,10.640000,11.000000,10.450000,10.810000,7.652006,1692503
2009-04-20,10.810000,10.810000,10.400000,10.410000,7.368861,1501664
2009-04-21,10.400000,10.400000,9.850000,9.990000,7.071558,2578372
2009-04-22,10.390000,10.780000,10.340000,10.610000,7.510433,1709230
2009-04-23,10.810000,10.880000,10.690000,10.810000,7.652006,580500
2009-04-24,10.850000,11.160000,10.750000,10.800000,7.644929,6254400
2009-04-27,10.160000,10.790000,9.900000,10.160000,7.191895,1174100
2009-04-28,10.290000,10.460000,9.990000,10.290000,7.283917,1258300
2009-04-29,10.440000,10.540000,10.270000,10.440000,7.390098,2455100
2009-04-30,10.760000,10.800000,10.420000,10.760000,7.616613,2806300
2009-05-04,11.030000,11.250000,10.800000,11.030000,7.807735,1687600
2009-05-05,11.500000,11.550000,11.000000,11.500000,8.140432,1179900
2009-05-06,11.850000,12.200000,11.650000,11.850000,8.388186,2433900
2009-05-07,11.480000,12.200000,11.290000,11.480000,8.126274,2540800
2009-05-08,12.350000,12.400000,11.500000,12.350000,8.742117,3289300
2009-05-11,12.350000,12.350000,12.000000,12.190000,8.628858,1524820
2009-05-12,12.170000,12.170000,11.460000,11.690000,8.274926,1652812
2009-05-13,11.510000,11.510000,11.230000,11.400000,8.069645,847604
2009-05-14,11.400000,11.700000,11.390000,11.600000,8.211220,647800
2009-05-15,12.040000,12.210000,11.600000,12.040000,8.522679,1618200
2009-05-18,12.010000,12.200000,12.000000,12.010000,8.501443,701200
2009-05-19,12.010000,12.200000,12.000000,12.010000,8.501443,651300
2009-05-20,11.940000,12.300000,11.900000,11.940000,8.451893,845600
2009-05-21,11.640000,11.940000,11.500000,11.640000,8.239532,290600
2009-05-22,11.740000,12.200000,11.620000,11.740000,8.310320,430900
2009-05-25,11.870000,12.200000,11.800000,11.870000,8.402343,1374100
2009-05-26,11.830000,12.000000,11.800000,11.830000,8.374026,1021100
2009-05-27,11.500000,12.100000,11.490000,11.500000,8.140432,752500
2009-05-28,11.520000,11.850000,11.250000,11.520000,8.154590,1068500
2009-05-29,11.600000,11.790000,11.500000,11.600000,8.211220,445500
2009-06-01,11.700000,11.900000,11.600000,11.700000,8.282005,1171200
2009-06-02,11.660000,11.850000,11.510000,11.660000,8.253690,1059200
2009-06-03,11.470000,11.690000,11.200000,11.470000,8.119197,384500
2009-06-04,11.320000,11.550000,11.250000,11.320000,8.013018,1540800
2009-06-05,11.420000,11.610000,11.410000,11.420000,8.083803,419600
2009-06-08,11.380000,11.420000,11.190000,11.380000,8.055488,723300
2009-06-09,11.280000,11.500000,11.270000,11.280000,7.984701,695000
2009-06-10,11.200000,11.360000,11.100000,11.200000,7.928074,1208800
2009-06-11,11.320000,11.450000,11.160000,11.320000,8.013018,1664300
2009-06-12,11.310000,11.500000,11.210000,11.310000,8.005938,602300
2009-06-15,11.110000,11.400000,11.030000,11.110000,7.864365,1207900
2009-06-16,11.300000,11.320000,11.060000,11.300000,7.998859,2071600
2009-06-17,11.370000,11.400000,11.050000,11.370000,8.048409,656800
2009-06-18,11.550000,11.700000,11.310000,11.550000,8.175826,1209100
2009-06-19,11.640000,11.720000,11.580000,11.640000,8.239532,1427000
2009-06-22,11.500000,11.690000,11.250000,11.500000,8.140432,998300
2009-06-23,11.680000,11.700000,11.300000,11.680000,8.267848,483300
2009-06-24,11.800000,11.880000,11.700000,11.800000,8.352792,1704800
2009-06-25,11.960000,12.000000,11.690000,11.960000,8.466049,634900
2009-06-26,12.140000,12.200000,12.000000,12.140000,8.593464,426300
2009-06-29,12.100000,12.130000,12.000000,12.100000,8.565150,327300
2009-06-30,12.050000,12.110000,12.000000,12.050000,8.529757,549900
2009-07-01,12.150000,12.150000,12.060000,12.150000,8.600543,375400
2009-07-02,12.110000,12.200000,11.840000,12.110000,8.572230,445600
2009-07-03,12.150000,12.150000,11.850000,12.150000,8.600543,73300
2009-07-06,11.980000,12.150000,11.890000,11.980000,8.480206,247000
2009-07-07,11.930000,12.010000,11.840000,11.930000,8.444814,291700
2009-07-08,11.930000,12.000000,11.860000,11.930000,8.444814,274600
2009-07-09,11.880000,11.990000,11.750000,11.880000,8.409420,151100
2009-07-10,11.610000,11.880000,11.510000,11.610000,8.218298,404400
2009-07-13,11.640000,11.800000,11.500000,11.640000,8.239532,1112900
