Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,8.050000,8.100000,8.000000,8.100000,8.100000,135000
2008-09-03,8.025000,8.255000,8.025000,8.250000,8.250000,1521200
2008-09-04,8.200000,8.225000,8.125000,8.225000,8.225000,2727800
2008-09-05,8.225000,8.225000,8.125000,8.225000,8.225000,188600
2008-09-08,8.250000,8.400000,8.250000,8.385000,8.385000,416000
2008-09-09,8.410000,8.425000,8.125000,8.220000,8.220000,544600
2008-09-10,8.250000,8.255000,8.225000,8.250000,8.250000,1448400
2008-09-11,8.250000,8.250000,8.175000,8.200000,8.200000,107800
2008-09-12,8.200000,8.250000,8.130000,8.130000,8.130000,344800
2008-09-15,8.000000,8.000000,7.980000,7.980000,7.980000,44000
2008-09-17,8.000000,8.000000,7.675000,7.675000,7.675000,388000
2008-09-18,7.450000,7.450000,7.050000,7.245000,7.245000,131000
2008-09-19,7.500000,7.525000,7.350000,7.475000,7.475000,5960800
2008-09-22,7.500000,7.500000,7.500000,7.500000,7.500000,4400
2008-09-23,7.500000,7.500000,7.500000,7.500000,7.500000,19600
2008-09-24,7.500000,7.500000,7.400000,7.400000,7.400000,291200
2008-09-25,7.400000,7.750000,7.350000,7.350000,7.350000,66400
2008-09-26,7.250000,7.250000,7.100000,7.160000,7.160000,1781200
2008-09-29,7.160000,7.160000,6.995000,7.000000,7.000000,2650200
2008-09-30,7.000000,7.000000,6.995000,7.000000,7.000000,304200
2008-10-01,7.000000,7.000000,7.000000,7.000000,7.000000,1119800
2008-10-02,7.000000,7.250000,7.000000,7.250000,7.250000,61800
2008-10-03,7.500000,7.505000,7.450000,7.450000,7.450000,119600
2008-10-06,6.750000,6.750000,6.350000,6.500000,6.500000,1221600
2008-10-07,6.500000,6.505000,6.305000,6.385000,6.385000,2109000
2008-10-08,5.890000,6.250000,5.850000,5.890000,5.890000,354400
2008-10-09,5.750000,5.850000,5.725000,5.820000,5.820000,865800
2008-10-10,5.815000,5.825000,5.780000,5.785000,5.785000,660800
2008-10-13,5.800000,5.890000,5.800000,5.890000,5.890000,20400
2008-10-14,6.450000,6.775000,6.450000,6.775000,6.775000,1886400
2008-10-15,6.800000,6.850000,6.800000,6.850000,6.850000,1041400
2008-10-16,7.000000,7.150000,7.000000,7.150000,7.150000,200000
2008-10-17,7.350000,7.500000,7.350000,7.400000,7.400000,774600
2008-10-20,7.400000,7.400000,7.250000,7.250000,7.250000,21600
2008-10-21,7.245000,7.250000,7.245000,7.245000,7.245000,207800
2008-10-22,7.000000,7.250000,6.575000,7.055000,7.055000,713600
2008-10-23,6.750000,6.750000,6.675000,6.720000,6.720000,494400
2008-10-24,6.720000,6.750000,6.650000,6.725000,6.725000,131800
2008-10-27,6.725000,6.725000,6.475000,6.475000,6.475000,225600
2008-10-28,6.595000,6.595000,6.300000,6.450000,6.450000,251800
2008-10-29,6.450000,6.450000,6.050000,6.175000,6.175000,141000
2008-10-30,6.175000,6.500000,6.175000,6.375000,6.375000,4728400
2008-10-31,6.805000,6.875000,6.380000,6.805000,6.805000,2187400
2008-11-03,6.650000,6.650000,6.650000,6.650000,6.650000,10000
2008-11-04,6.650000,6.750000,6.650000,6.650000,6.650000,52000
2008-11-05,6.650000,6.650000,6.500000,6.500000,6.500000,2155800
2008-11-06,6.500000,6.500000,6.375000,6.400000,6.400000,21400
2008-11-07,6.400000,6.400000,6.100000,6.125000,6.125000,301200
2008-11-10,5.770000,6.125000,5.750000,5.770000,5.770000,206400
2008-11-11,5.770000,5.880000,5.650000,5.665000,5.665000,766000
2008-11-12,5.525000,5.525000,5.450000,5.500000,5.500000,600600
2008-11-13,5.500000,5.750000,5.500000,5.515000,5.515000,487200
2008-11-14,5.550000,5.550000,5.250000,5.375000,5.375000,264400
2008-11-18,5.375000,5.375000,5.005000,5.005000,5.005000,0
2008-11-19,5.000000,5.375000,5.000000,5.000000,5.000000,293000
2008-11-20,4.875000,5.000000,4.875000,4.875000,4.875000,158200
2008-11-21,4.800000,4.800000,4.725000,4.800000,4.800000,316400
2008-11-24,4.875000,5.100000,4.855000,4.875000,4.875000,208400
2008-11-25,4.875000,5.000000,4.500000,4.995000,4.995000,580800
2008-11-26,4.875000,4.875000,4.625000,4.710000,4.710000,224200
2008-11-27,4.790000,5.000000,4.625000,4.735000,4.735000,98400
2008-11-28,4.735000,4.995000,4.735000,4.995000,4.995000,74000
2008-12-01,5.000000,5.000000,4.505000,4.765000,4.765000,356200
2008-12-02,5.000000,5.000000,5.000000,5.000000,5.000000,2000
2008-12-03,4.850000,4.850000,4.625000,4.840000,4.840000,4800
2008-12-04,4.990000,5.175000,4.500000,4.795000,4.795000,1162200
2008-12-05,5.250000,5.250000,5.200000,5.225000,5.225000,1056400
2008-12-08,5.245000,5.250000,4.950000,5.200000,5.200000,239800
2008-12-09,5.200000,5.200000,5.070000,5.070000,5.070000,56600
2008-12-10,4.930000,5.250000,4.910000,5.200000,5.200000,132000
2008-12-11,4.785000,5.200000,4.775000,4.785000,4.785000,40400
2008-12-15,4.800000,4.800000,4.575000,4.575000,4.575000,11241400
2008-12-16,4.725000,4.750000,4.450000,4.500000,4.500000,339000
2008-12-17,4.555000,4.555000,4.375000,4.495000,4.495000,187600
2008-12-18,4.700000,4.700000,4.425000,4.500000,4.500000,433200
2008-12-19,4.500000,4.700000,4.485000,4.675000,4.675000,8002800
2008-12-22,4.775000,4.775000,4.695000,4.695000,4.695000,452400
2008-12-23,4.770000,4.770000,4.600000,4.700000,4.700000,528600
2008-12-24,4.610000,4.710000,4.610000,4.700000,4.700000,21000
2008-12-26,4.775000,4.775000,4.550000,4.750000,4.750000,10800
2008-12-29,4.850000,4.850000,4.500000,4.775000,4.775000,3496600
2008-12-30,4.650000,4.700000,4.650000,4.700000,4.700000,4600
2008-12-31,4.775000,4.850000,4.700000,4.845000,4.845000,80800
2009-01-02,4.845000,4.995000,4.845000,4.995000,4.995000,1000
2009-01-05,4.975000,5.005000,4.700000,4.785000,4.785000,900400
2009-01-06,4.785000,5.500000,4.785000,5.310000,5.310000,4096800
2009-01-07,5.100000,5.245000,5.030000,5.170000,5.170000,455800
2009-01-08,5.170000,5.170000,4.995000,4.995000,4.995000,207800
2009-01-09,4.995000,5.000000,4.925000,4.990000,4.990000,20400
2009-01-12,4.785000,4.805000,4.750000,4.755000,4.755000,107200
2009-01-13,4.760000,4.875000,4.520000,4.795000,4.795000,5600
2009-01-14,4.720000,4.720000,4.275000,4.490000,4.490000,165800
2009-01-15,4.375000,4.425000,3.820000,4.365000,4.365000,2372200
2009-01-16,4.375000,4.375000,4.225000,4.250000,4.250000,152200
2009-01-19,4.250000,4.250000,4.245000,4.245000,4.245000,14200
2009-01-20,4.205000,4.205000,3.930000,4.080000,4.080000,307600
2009-01-21,4.000000,4.000000,3.970000,3.990000,3.990000,133000
2009-01-22,3.925000,3.925000,3.750000,3.795000,3.795000,132400
2009-01-23,3.795000,3.810000,3.700000,3.790000,3.790000,464400
2009-01-26,3.865000,3.975000,3.800000,3.815000,3.815000,302000
2009-01-27,3.835000,3.915000,3.800000,3.915000,3.915000,1485200
2009-01-28,3.965000,4.250000,3.950000,4.230000,4.230000,944800
2009-01-29,4.115000,4.250000,4.115000,4.250000,4.250000,38200
2009-01-30,4.150000,4.300000,4.125000,4.300000,4.300000,9800
2009-02-02,null,null,null,null,null,null
2009-02-03,4.300000,4.375000,4.275000,4.375000,4.375000,207400
2009-02-04,4.400000,4.600000,4.400000,4.595000,4.595000,372800
2009-02-05,4.535000,4.615000,4.250000,4.590000,4.590000,73000
2009-02-06,4.675000,4.700000,4.625000,4.700000,4.700000,902000
2009-02-09,4.600000,4.600000,4.450000,4.450000,4.450000,51800
2009-02-10,4.350000,4.450000,3.900000,4.270000,4.270000,2671000
2009-02-11,4.270000,4.270000,4.200000,4.200000,4.200000,1089600
2009-02-12,4.095000,4.095000,3.980000,4.055000,4.055000,1486200
2009-02-13,4.000000,4.250000,3.875000,4.050000,4.050000,2464600
2009-02-16,4.120000,4.425000,4.100000,4.305000,4.305000,207200
2009-02-17,4.155000,4.205000,4.000000,4.065000,4.065000,86200
2009-02-18,4.120000,4.120000,4.050000,4.050000,4.050000,76800
2009-02-19,4.050000,4.070000,3.825000,3.945000,3.945000,5933400
2009-02-20,3.945000,3.945000,3.800000,3.825000,3.825000,99600
2009-02-23,3.800000,3.800000,3.650000,3.675000,3.675000,237200
2009-02-24,3.670000,3.670000,3.575000,3.625000,3.625000,71400
2009-02-25,3.625000,3.625000,3.505000,3.535000,3.535000,157800
2009-02-26,3.550000,4.000000,3.550000,3.750000,3.750000,169200
2009-02-27,3.755000,4.000000,3.755000,4.000000,4.000000,318400
2009-03-02,4.000000,4.000000,3.890000,4.000000,4.000000,768200
2009-03-03,3.995000,3.995000,3.875000,3.945000,3.945000,30400
2009-03-04,3.855000,4.000000,3.800000,3.975000,3.975000,140800
2009-03-05,3.875000,3.875000,3.600000,3.845000,3.845000,135400
2009-03-06,3.780000,3.860000,3.500000,3.835000,3.835000,3489000
2009-03-09,3.850000,3.860000,3.785000,3.785000,3.785000,61000
2009-03-10,3.750000,4.025000,3.675000,3.845000,3.845000,210000
2009-03-11,3.820000,3.820000,3.505000,3.695000,3.695000,337200
2009-03-12,3.960000,3.995000,3.600000,3.960000,3.960000,388600
2009-03-13,3.900000,3.900000,3.590000,3.675000,3.675000,417432
2009-03-17,3.670000,3.670000,3.250000,3.425000,3.425000,668234
2009-03-18,3.425000,3.450000,3.250000,3.400000,3.400000,730200
2009-03-19,3.375000,3.410000,3.350000,3.400000,3.400000,727800
2009-03-20,3.400000,3.445000,3.400000,3.425000,3.425000,1772200
2009-03-23,3.470000,3.725000,3.470000,3.650000,3.650000,251600
2009-03-24,3.600000,3.600000,3.400000,3.465000,3.465000,4742200
2009-03-25,3.500000,3.500000,3.405000,3.425000,3.425000,2016400
