Date,Open,High,Low,Close,Adj Close,Volume
2015-01-26,18.120001,18.190001,18.120001,18.190001,17.873949,9760
2015-01-27,18.150000,18.150000,18.120001,18.150000,17.834644,38556
2015-01-28,18.120001,18.170000,17.950001,18.020000,17.706903,3791780
2015-01-29,17.910000,17.910000,17.799999,17.830000,17.520205,2302642
2015-01-30,18.000000,18.000000,17.410000,17.450001,17.146807,58376
2015-02-03,17.660000,17.740000,17.660000,17.740000,17.431767,33056
2015-02-04,17.770000,17.959999,17.770000,17.770000,17.461246,503
2015-02-05,17.879999,18.030001,17.879999,18.030001,17.716730,995234
2015-02-06,18.100000,18.190001,18.080000,18.180000,17.864122,3309500
2015-02-09,18.110001,18.120001,18.000000,18.120001,17.805166,1432712
2015-02-10,18.200001,18.200001,17.950001,18.010000,17.697077,182944
2015-02-11,17.930000,17.930000,17.770000,17.780001,17.471073,32210
2015-02-12,null,null,null,null,null,null
2015-02-13,18.139999,18.190001,18.139999,18.190001,17.873949,156923
2015-02-16,18.190001,18.190001,18.110001,18.110001,17.795340,25400
2015-02-17,17.920000,18.200001,17.920000,18.200001,17.883776,385587
2015-02-18,18.150000,18.270000,18.139999,18.139999,17.824818,23497
2015-02-19,18.139999,18.280001,18.139999,18.280001,17.962385,15741
2015-02-20,18.209999,18.379999,18.209999,18.379999,18.060646,2932
2015-02-23,18.330000,18.469999,18.330000,18.469999,18.149084,44556
2015-02-24,18.469999,18.580000,18.469999,18.580000,18.257172,255259
2015-02-25,18.580000,18.580000,18.500000,18.530001,18.208042,274106
2015-02-26,18.580000,18.700001,18.570000,18.700001,18.375088,599782
2015-02-27,18.469999,18.700001,18.469999,18.690001,18.365261,21022
2015-03-02,18.549999,18.549999,18.450001,18.459999,18.139257,672005
2015-03-03,18.400000,18.400000,18.290001,18.350000,18.031170,303708
2015-03-04,18.139999,18.250000,18.139999,18.219999,17.903427,556321
2015-03-05,18.299999,18.430000,18.219999,18.330000,18.011517,2006200
2015-03-06,18.180000,18.340000,18.180000,18.200001,17.883776,751481
2015-03-09,18.250000,18.250000,18.200001,18.250000,17.932907,806528
2015-03-10,18.200001,18.200001,18.110001,18.200001,17.883776,8339
2015-03-11,18.030001,18.200001,18.030001,18.200001,17.883776,16248
2015-03-12,18.379999,18.549999,18.379999,18.549999,18.227694,29007
2015-03-13,18.500000,18.500000,18.400000,18.490000,18.168736,2759594
2015-03-17,18.480000,18.480000,18.400000,18.410000,18.090126,39912
2015-03-18,18.360001,18.570000,18.360001,18.570000,18.247347,22600
2015-03-19,18.540001,18.540001,18.459999,18.500000,18.178562,100115
2015-03-20,18.500000,18.660000,18.500000,18.520000,18.198215,47032
2015-03-23,null,null,null,null,null,null
2015-03-24,18.440001,18.559999,18.410000,18.500000,18.178562,47617
2015-03-25,18.299999,18.400000,18.299999,18.309999,17.991863,1152143
2015-03-26,18.340000,18.340000,18.100000,18.170000,17.854296,1248
2015-03-27,18.150000,18.299999,18.150000,18.299999,17.982037,3925
2015-03-30,18.330000,18.400000,18.299999,18.400000,18.080299,5242952
2015-03-31,18.299999,18.370001,18.299999,18.320000,18.001690,4201
2015-04-01,18.370001,18.450001,18.370001,18.450001,18.129433,2405
2015-04-06,18.600000,18.750000,18.600000,18.750000,18.424219,34302
2015-04-07,18.190001,18.870001,18.190001,18.860001,18.532309,81778
2015-04-08,18.900000,18.950001,18.799999,18.860001,18.532309,157703
2015-04-09,18.840000,18.889999,18.790001,18.790001,18.463524,16324
2015-04-10,null,null,null,null,null,null
2015-04-13,null,null,null,null,null,null
2015-04-14,18.850000,18.850000,18.709999,18.840000,18.512655,715002
2015-04-15,18.900000,19.000000,18.900000,18.910000,18.581438,140091
2015-04-16,18.900000,19.000000,18.900000,19.000000,18.669876,56443
2015-04-17,18.900000,18.900000,18.799999,18.799999,18.473349,818
2015-04-20,18.900000,18.900000,18.799999,18.799999,18.473349,63797
2015-04-21,18.799999,18.920000,18.780001,18.920000,18.591265,58230
2015-04-22,18.920000,18.930000,18.850000,18.930000,18.601091,80165
2015-04-23,18.889999,19.000000,18.889999,18.950001,18.620745,24361
2015-04-24,19.049999,19.129999,19.049999,19.129999,18.797615,1624061
2015-04-27,19.150000,19.250000,19.040001,19.049999,18.719006,38056
2015-04-28,19.000000,19.020000,18.980000,19.020000,18.689528,17132
2015-04-29,18.840000,18.930000,18.799999,18.870001,18.542135,51270
2015-04-30,18.750000,18.850000,18.700001,18.730000,18.404566,8336
2015-05-04,18.900000,19.000000,18.799999,19.000000,18.669876,46642
2015-05-05,19.010000,19.090000,18.910000,18.940001,18.610918,11672
2015-05-06,18.790001,18.870001,18.770000,18.790001,18.463524,100152
2015-05-07,18.760000,18.760000,18.690001,18.690001,18.365261,343965
2015-05-08,18.730000,18.830000,18.730000,18.830000,18.502829,38734
2015-05-11,18.730000,18.850000,18.730000,18.820000,18.493002,116531
2015-05-12,18.799999,18.950001,18.660000,18.770000,18.443872,2696
2015-05-13,18.830000,18.830000,18.830000,18.830000,18.502829,100
2015-05-14,18.870001,18.889999,18.799999,18.850000,18.522482,72753
2015-05-15,18.600000,18.910000,18.600000,18.910000,18.581438,57634
2015-05-18,18.889999,18.889999,18.799999,18.889999,18.561787,18870
2015-05-19,19.000000,19.000000,18.850000,18.910000,18.581438,1035928
2015-05-20,18.920000,18.920000,18.799999,18.889999,18.561787,11958
2015-05-21,18.799999,18.930000,18.799999,18.830000,18.502829,40070
2015-05-22,18.840000,18.840000,18.680000,18.730000,18.404566,90765
